Espécie;Apreendidas;Data apreensão;Mês;Ano;UF Apreensão;Unidade Apreensão;Município;País de origem;Tipo Penal
Revólver;1;41298;jan;2013;ES;SR/PF/ES;SERRA;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Fuzil;1;41299;jan;2013;PR;DPF/FIG/PR;SANTA TEREZINHA DE ITAIPU;Não identificado;Art. 18 Tráfico internacional de arma de fogo
Pistola;1;41299;jan;2013;PR;DPF/CAC/PR;CASCAVEL;Não identificado;Art. 18 Tráfico internacional de arma de fogo
Revólver;1;41299;jan;2013;PE;DPF/CRU/PE;NI;Não identificado;Outra tipificação
Arma não classificada;1;41302;jan;2013;AM;SR/PF/AM;NI;Não identificado;Outra tipificação
Pistola;1;41302;jan;2013;PR;DPF/FIG/PR;SAO MIGUEL DO IGUACU;Não identificado;Art. 16 Posse ou porte ilegal de arma de fogo de uso restrito
Pistola;1;41302;jan;2013;PR;DPF/FIG/PR;SAO MIGUEL DO IGUACU;Não identificado;Art. 18 Tráfico internacional de arma de fogo
Revólver;1;41302;jan;2013;PR;DPF/FIG/PR;SAO MIGUEL DO IGUACU;Brasil;Art. 16 Posse ou porte ilegal de arma de fogo de uso restrito
Revólver;1;41302;jan;2013;PR;DPF/FIG/PR;SAO MIGUEL DO IGUACU;Brasil;Art. 18 Tráfico internacional de arma de fogo
Pistola;1;41303;jan;2013;RS;SR/PF/RS;ELDORADO DO SUL;Estados Unidos da América;Art. 16 Posse ou porte ilegal de arma de fogo de uso restrito
Revólver;1;41303;jan;2013;RN;SR/PF/RN;NI;Brasil;Outra tipificação
Revólver;1;41303;jan;2013;RN;SR/PF/RN;NI;Não identificado;Outra tipificação
Espingarda;1;41304;jan;2013;RO;SR/PF/RO;NI;Não identificado;Outra tipificação
Revólver;1;41304;jan;2013;MT;DPF/SIC/MT;SINOP;Brasil;Art. 12 Posse irregular de arma de fogo de uso permitido
Pistola;1;41305;jan;2013;MT;DPF/CAE/MT;PORTO ESPERIDIAO;Não identificado;Art. 16 Posse ou porte ilegal de arma de fogo de uso restrito
Pistola;1;41305;jan;2013;SP;DPF/BRU/SP;IGARACU DO TIETE;Não identificado;Art. 16 Posse ou porte ilegal de arma de fogo de uso restrito
Espingarda;1;41306;fev;2013;SP;DPF/MII/SP;NI;Não identificado;Outra tipificação
Espingarda;1;41306;fev;2013;SP;DPF/MII/SP;NI;Não identificado;Outra tipificação
Espingarda;2;41306;fev;2013;SP;DPF/MII/SP;NI;Estados Unidos da América;Outra tipificação
Espingarda;1;41310;fev;2013;AP;SR/PF/AP;FERREIRA GOMES;Não identificado;Art. 12 Posse irregular de arma de fogo de uso permitido
Pistola;1;41310;fev;2013;MT;DPF/ROO/MT;NI;Não identificado;Outra tipificação
Pistola;1;41310;fev;2013;MT;DPF/ROO/MT;NI;Brasil;Outra tipificação
Pistola;1;41310;fev;2013;RJ;DPF/NIG/RJ;NI;Brasil;Outra tipificação
Espingarda;1;41311;fev;2013;MS;SR/PF/MS;CAMPO GRANDE;Não identificado;Art. 12 Posse irregular de arma de fogo de uso permitido
Espingarda;1;41311;fev;2013;MS;SR/PF/MS;CAMPO GRANDE;Não identificado;Art. 12 Posse irregular de arma de fogo de uso permitido
Espingarda;1;41311;fev;2013;MS;SR/PF/MS;CAMPO GRANDE;Não identificado;Art. 12 Posse irregular de arma de fogo de uso permitido
Pistola;1;41311;fev;2013;PE;SR/PF/PE;NI;Brasil;Outra tipificação
Pistola;1;41311;fev;2013;PI;SR/PF/PI;TERESINA;Não identificado;Art. 16 Posse ou porte ilegal de arma de fogo de uso restrito
Pistola;1;41311;fev;2013;PI;SR/PF/PI;TERESINA;Não identificado;Art. 16 Posse ou porte ilegal de arma de fogo de uso restrito
Pistola;3;41311;fev;2013;PR;DPF/GRA/PR;GUAIRA;Brasil;Art. 16 Posse ou porte ilegal de arma de fogo de uso restrito
Revólver;1;41311;fev;2013;MS;SR/PF/MS;CAMPO GRANDE;Brasil;Art. 12 Posse irregular de arma de fogo de uso permitido
Revólver;1;41311;fev;2013;PE;SR/PF/PE;NI;Brasil;Outra tipificação
Revólver;1;41311;fev;2013;PE;SR/PF/PE;NI;Não identificado;Outra tipificação
